O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,K V Sakkeer Hussain,Communist Party of India (Marxist),61942,1592,63534,44.7
2,Adv. Sunny Joseph,Indian National Congress,64784,1922,66706,46.93
3,Smitha Jayamohan,Bharatiya Janata Party,8956,199,9155,6.44
4,A C Jalaluddeen,SOCIAL DEMOCRATIC PARTY OF INDIA,1530,11,1541,1.08
5,John Pallikkamalil,Secular Democratic Congress,88,4,92,0.06
6,P K Saji,New Labour Party,104,2,106,0.07
7,Narayanakumar,Independent,55,5,60,0.04
8,Sakkeer E K S/o Asiya,Independent,101,15,116,0.08
9,Sakkeer Hussain S/o Hamsa,Independent,240,3,243,0.17
10,Sunny Muthukulathel,Independent,60,0,60,0.04
11,Sunny Vazhakkamalayil,Independent,121,0,121,0.09
12,NOTA,None of the Above,392,12,404,0.28
