O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,SIVADASAN,Bahujan Samaj Party,813,14,827,0.54
2,ADVOCATE. N. SAMSUDHEEN,Indian Union Muslim League,70448,1209,71657,47.11
3,K. P. SURESH RAJ,Communist Party of India,64621,1166,65787,43.25
4,AGALI NASEEMA P,All India Anna Dravida Munnetra Kazhagam,10282,94,10376,6.82
5,AJIKUMAR,Independent,157,2,159,0.1
6,JAMES MASH,Independent,968,20,988,0.65
7,SHIBU GEORGE,Independent,97,4,101,0.07
8,SHAMSUDDEEN S/o. YUSAF,Independent,184,8,192,0.13
9,SHAMSUDDEEN S/o. HAMZA,Independent,479,32,511,0.34
10,SURESH,Independent,433,7,440,0.29
11,SURESH BABU,Independent,303,1,304,0.2
12,NOTA,None of the Above,753,7,760,0.5
