O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Adv.P.T.THOMAS,Indian National Congress,58707,1132,59839,43.82
2,P.M.SHIBU,Bahujan Samaj Party,322,9,331,0.24
3,S SAJI,Bharatiya Janata Party,15218,265,15483,11.34
4,KRISHNAPRASAD,Democratic Social Justice Party,174,7,181,0.13
5,Dr.TERRY THOMAS,Twenty 20 Party,13773,124,13897,10.18
6,JINU,Independent,143,0,143,0.1
7,Dr.J.JACOB,Independent,44894,616,45510,33.32
8,BINOJ,Independent,130,4,134,0.1
9,SUBIN,Independent,55,4,59,0.04
10,RIYAS YUSUF,Independent,294,4,298,0.22
11,NOTA,None of the Above,688,7,695,0.51
