O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Padmaja S. Menon,Bharatiya Janata Party,15813,230,16043,14.57
2,T. J. Vinod,Indian National Congress,45066,864,45930,41.72
3,Prof. Leslie Pallath,Twenty 20 Party,10550,84,10634,9.66
4,K. S. Anilkumar,Independent,215,10,225,0.2
5,Ashokan,Independent,173,3,176,0.16
6,SHAJI GEORGE PRANATHA,Independent,34528,432,34960,31.75
7,Shaji George Plakkil,Independent,290,15,305,0.28
8,Siciliamma Teacher,Independent,70,1,71,0.06
9,Sujith C. Sukumaran,Independent,1024,18,1042,0.95
10,NOTA,None of the Above,705,7,712,0.65
