O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,A.V. SUBRAMANIAN,Indian National Congress,12215,354,12569,44.38
2,P.R.N. THIRUMURUGAN,All India N.R. Congress,12362,342,12704,44.85
3,P. ARULANANDHAM,Indiya Jananayaka Katchi,55,0,55,0.19
4,ANUSUYA,Naam Tamilar Katchi,1203,11,1214,4.29
5,K. SURESH,Makkal Needhi Maiam,354,5,359,1.27
6,MOHAMED THAMEEM KANI,SOCIAL DEMOCRATIC PARTY OF INDIA,184,1,185,0.65
7,A. VELUSAMY,Desiya Murpokku Dravida Kazhagam,72,0,72,0.25
8,S. MURALI,Independent,85,1,86,0.3
9,B. RAJENDRAN,Independent,32,0,32,0.11
10,A. Vengadesh,Independent,757,9,766,2.7
11,NOTA,None of the Above,275,7,282,1.0
