O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,R. SARAVANAN,Communist Party of India (Marxist),312,9,321,1.37
2,S. SENTHIL KUMARAN,Indian National Congress,4288,114,4402,18.79
3,BALAMURUGAN,Bahujan Samaj Party,82,3,85,0.36
4,VAIYAPURI MANIKANDAN,All India Anna Dravida Munnetra Kazhagam,7658,186,7844,33.49
5,A. ARUNAGIRI,Desiya Murpokku Dravida Kazhagam,85,1,86,0.37
6,K. SARAVANAN,Makkal Needhi Maiam,728,4,732,3.13
7,M. FARITHA BEGUM,Naam Tamilar Katchi,762,16,778,3.32
8,K. MURUGAN,Amma Makkal Munnettra Kazagam,51,0,51,0.22
9,S. KALA,Independent,34,0,34,0.15
10,J. PRAKASH KUMAR,Independent,8655,123,8778,37.48
11,G. MAGESH,Independent,48,0,48,0.2
12,NOTA,None of the Above,254,10,264,1.13
