O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,A. ARULPRAKASH,Bahujan Samaj Party,84,0,84,0.31
2,CHANDIRA PRIYANGA,All India N.R. Congress,10410,364,10774,40.2
3,A. MARIMUTHU,Indian National Congress,8376,184,8560,31.94
4,V. GEETHA,Naam Tamilar Katchi,779,9,788,2.94
5,A. GNANASEGARAN,Desiya Murpokku Dravida Kazhagam,243,3,246,0.92
6,T. RAJENDIRAN,Amma Makkal Munnettra Kazagam,147,6,153,0.57
7,T. NARASIMHAN,Independent,81,0,81,0.3
8,ANDOOR MATHI,Independent,248,4,252,0.94
9,DR. V. VIGNESWARAN,Independent,5535,71,5606,20.92
10,NOTA,None of the Above,251,3,254,0.95
