O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,SUNKARA KARTHIK,Bahujan Samaj Party,89,1,90,0.26
2,N.RANGASAMY,All India N.R. Congress,16228,249,16477,47.2
3,PEDAPATI RAMESH BABU,Amma Makkal Munnettra Kazagam,92,0,92,0.26
4,MALLADI UDAYA LAKSHMI,Independent,53,0,53,0.15
5,DURGAA PRASAAHD PEMMADI,Independent,93,2,95,0.27
6,GOLUGULA PRABHAVATHI,Independent,13,0,13,0.04
7,NATI BURIYYA,Independent,21,0,21,0.06
8,GOLLAPALLI BHARATHI,Independent,10,0,10,0.03
9,SABBATI LOKESWARA RAO,Independent,12,1,13,0.04
10,DAVULURY VEERA VRATHA PATHI,Independent,318,2,320,0.92
11,KALLA VENKATA RATNAM,Independent,23,2,25,0.07
12,TEKUMUDI VENKATA RAO,Independent,210,0,210,0.6
13,GOLLAPALLI SRINIVAS ASHOK,Independent,16874,258,17132,49.07
14,SURIMILLI SUBBA RAO,Independent,100,2,102,0.29
15,TALATAM SURYA CHANDRA SEKHARA RAO,Independent,139,0,139,0.4
16,NOTA,None of the Above,115,3,118,0.34
