O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,OMSAKTHISEKAR,All India Anna Dravida Munnetra Kazhagam,1743,44,1787,8.82
2,S. GOPAL,Dravida Munnetra Kazhagam,7367,120,7487,36.96
3,R. CADIRESSAN,Desiya Murpokku Dravida Kazhagam,49,1,50,0.25
4,KARUNANITHI,Naam Tamilar Katchi,497,10,507,2.5
5,A. SIRAJ @ KANIMOHAMED,Amma Makkal Munnettra Kazagam,26,0,26,0.13
6,S. SAKTIVEL,Makkal Needhi Maiam,363,1,364,1.8
7,K. PURUSHOTHAMAN,Indiya Jananayaka Katchi,6,0,6,0.03
8,J. RAVI @ PURUSHOTHAMAN,Puratchi Bharatham,59,1,60,0.3
9,R. RAJA,Independent,14,0,14,0.07
10,G. GOPAL,Independent,4,1,5,0.02
11,P. GOPALAKRISHNAN,Independent,11,0,11,0.05
12,GOPALAKRISHNAN .M,Independent,10,0,10,0.05
13,M. SANKAR,Independent,56,0,56,0.28
14,G. NEHRU @ KUPPUSAMY,Independent,9410,170,9580,47.29
15,V. HARIHARANE,Independent,111,2,113,0.56
16,NOTA,None of the Above,177,4,181,0.89
