O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,R. BASKAR @ DATCHANAMOURTTY,All India N.R. Congress,17439,419,17858,54.32
2,T. DJEAMOURTHY,Indian National Congress,11209,231,11440,34.8
3,V INDUMATHY,Indiya Jananayaka Katchi,52,0,52,0.16
4,SUNDARAVADIVELU,Naam Tamilar Katchi,1086,8,1094,3.33
5,A MOHAMAD KASSIM,SOCIAL DEMOCRATIC PARTY OF INDIA,67,1,68,0.21
6,V RUTHRAKUMARAN,Makkal Needhi Maiam,1026,29,1055,3.21
7,LOURDUSAMY,Desiya Murpokku Dravida Kazhagam,53,2,55,0.17
8,R KARTHICK,Independent,46,1,47,0.14
9,S KUMARAVELU,Independent,818,5,823,2.5
10,NOTA,None of the Above,374,8,382,1.16
