O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,P. KARTHIKEYAN,Indian National Congress,12145,96,12241,42.29
2,AK SAI J SARAVANAN KUMAR,Bharatiya Janata Party,13903,218,14121,48.78
3,GEETHA PRIYA,Naam Tamilar Katchi,736,4,740,2.56
4,K. SANKAR,Makkal Needhi Maiam,291,2,293,1.01
5,R. BABOU,Desiya Murpokku Dravida Kazhagam,77,0,77,0.27
6,M. RAMESH,Indiya Jananayaka Katchi,14,0,14,0.05
7,MUTHALU VENGADESAN,Amma Makkal Munnettra Kazagam,489,7,496,1.71
8,ABIMANNAN,Independent,20,4,24,0.08
9,N. AMBIGAPATHY,Independent,314,6,320,1.11
10,S. SANJIV GANTHI,Independent,46,1,47,0.16
11,A. MURALI,Independent,164,1,165,0.57
12,NOTA,None of the Above,406,3,409,1.41
