O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,R. KAMALAKKANNAN,Indian National Congress,7486,245,7731,28.77
2,S. RAJASEKARAN,Bharatiya Janata Party,8274,142,8416,31.32
3,K. GURU @ SINTHA,Desiya Murpokku Dravida Kazhagam,125,2,127,0.47
4,M. SIKKANTHAR BATSHA,Naam Tamilar Katchi,344,3,347,1.29
5,DHARPARANIYAM,Amma Makkal Munnettra Kazagam,58,0,58,0.22
6,PR. SIVA,Independent,9551,245,9796,36.45
7,P. SIMONRAJ,Independent,66,1,67,0.25
8,M. MARIAPPANE,Independent,84,4,88,0.33
9,S. VINOTH,Independent,71,0,71,0.26
10,NOTA,None of the Above,168,5,173,0.64
