O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,A. JOHNKUMAR,Bharatiya Janata Party,16303,384,16687,56.11
2,M.O.H.F. SHAJAHAN,Indian National Congress,9208,250,9458,31.8
3,N. NADARAJAN @ SELVA,Desiya Murpokku Dravida Kazhagam,117,2,119,0.4
4,L. MUNISAMY,Amma Makkal Munnettra Kazagam,430,16,446,1.5
5,N. SHARMILA BEGUM,Naam Tamilar Katchi,1955,27,1982,6.66
6,ANANDARAJ,Independent,119,2,121,0.41
7,SIVA. ILANGO,Independent,81,4,85,0.29
8,S. SAGAYARAJ,Independent,70,0,70,0.24
9,VPR. SELVAM,Independent,113,2,115,0.39
10,NOTA,None of the Above,636,22,658,2.21
