O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,SUN. KUMARAVEL,Dravida Munnetra Kazhagam,14047,174,14221,42.64
2,A. Pathimaraj,Bahujan Samaj Party,104,0,104,0.31
3,DJEACOUMAR .C,All India N.R. Congress,16600,372,16972,50.89
4,M. Ganapathy,Amma Makkal Munnettra Kazagam,189,6,195,0.58
5,M. SUBRAMANI,Makkal Needhi Maiam,278,1,279,0.84
6,S. Patchaiappan,Desiya Murpokku Dravida Kazhagam,84,1,85,0.25
7,B. BHARATHKALAI,Naam Tamilar Katchi,829,9,838,2.51
8,Manavalan,Indiya Jananayaka Katchi,17,0,17,0.05
9,A EGAMBARAM,Independent,37,0,37,0.11
10,P. CANNANE,Independent,205,1,206,0.62
11,M. Karthick,Independent,32,0,32,0.1
12,NOTA,None of the Above,364,3,367,1.1
