O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,R. K. R. ANANTHARAMAN,Indian National Congress,8929,164,9093,30.37
2,EMBALAM SELVAM @ R.SELVAM,Bharatiya Janata Party,16901,324,17225,57.54
3,THAMIZHARASAN,Bahujan Samaj Party,252,8,260,0.87
4,M S ELANGOVAN,Naam Tamilar Katchi,1539,16,1555,5.19
5,SUNDARAMBAL @ MALARVIZHI,Makkal Needhi Maiam,412,14,426,1.42
6,V THIRUNAVUKARASU,Desiya Murpokku Dravida Kazhagam,84,0,84,0.28
7,J VEERASEKARAN,Indiya Jananayaka Katchi,33,2,35,0.12
8,VEERAPUTHIRAN,Amma Makkal Munnettra Kazagam,62,0,62,0.21
9,T ANANDAN,Independent,595,18,613,2.05
10,DHORAPADIAR @ V.VELUSAMY,Independent,177,1,178,0.59
11,NOTA,None of the Above,394,11,405,1.35
