O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,"T. UDAYAKUMAR, MLIS",Bahujan Samaj Party,77,3,80,0.28
2,B. KOBIGA,All India N.R. Congress,8084,154,8238,28.6
3,A. MUHILAN,Dravida Munnetra Kazhagam,7588,56,7644,26.53
4,Dr.K. SILAMBARASAN,Amma Makkal Munnettra Kazagam,229,0,229,0.79
5,V. SIVARAMAN,Indiya Jananayaka Katchi,115,2,117,0.41
6,K. RANJIT,Naam Tamilar Katchi,584,4,588,2.04
7,DURAI RAMESH,Makkal Needhi Maiam,481,1,482,1.67
8,T. VINAYAGAMOORTHY,Desiya Murpokku Dravida Kazhagam,118,1,119,0.41
9,P. ANGALANE,Independent,10473,124,10597,36.78
10,S.T. PARAMASIVAM @ CALE,Independent,180,2,182,0.63
11,M. SHANTHI,Independent,78,7,85,0.3
12,S. NADARAJAN,Independent,83,1,84,0.29
13,M. MANIVANNAN,Independent,79,0,79,0.27
14,NOTA,None of the Above,280,4,284,0.99
