O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,P.M.L. KALYANASUNDARAM,Bharatiya Janata Party,13052,225,13277,44.63
2,S. MOUTTOUVEL,Dravida Munnetra Kazhagam,3670,99,3769,12.67
3,P. KALIAMURTHY,Amma Makkal Munnettra Kazagam,37,2,39,0.13
4,K. KAMARAJ,Naam Tamilar Katchi,1296,25,1321,4.44
5,R. CHANDRAMOHAN,Makkal Needhi Maiam,673,12,685,2.3
6,S. HARIHARAN,Desiya Murpokku Dravida Kazhagam,156,1,157,0.53
7,C. ASOKUMAR @ RAJKUMAR,Independent,96,1,97,0.33
8,L. SUBBULAKSHMI,Independent,31,0,31,0.1
9,BALASOUBREMANIANE. A,Independent,36,0,36,0.12
10,A. SENTHIL @ RAMESH,Independent,9652,117,9769,32.84
11,E. VIGNESH,Independent,63,0,63,0.21
12,S. VENGADESSAPEROUMAL,Independent,54,0,54,0.18
13,NOTA,None of the Above,441,12,453,1.52
