O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,L. SAMBATH,Dravida Munnetra Kazhagam,14785,366,15151,51.3
2,A. BASKAR,All India Anna Dravida Munnetra Kazhagam,10747,225,10972,37.15
3,M. ARIKRISHNAN,Makkal Needhi Maiam,1293,28,1321,4.47
4,M. MANIKANDAN,Amma Makkal Munnettra Kazagam,101,4,105,0.36
5,M. VELAVAN,Naam Tamilar Katchi,1274,30,1304,4.41
6,E. JEGANADHANE,Indiya Jananayaka Katchi,26,0,26,0.09
7,K. KADIRVANAN,Independent,16,1,17,0.06
8,G. SANTHOSH KUMAR,Independent,13,0,13,0.04
9,E. THAMIZHARASAN,Independent,24,0,24,0.08
10,S. NATARAJAN,Independent,75,3,78,0.26
11,V. MANIKANDAN,Independent,18,0,18,0.06
12,S. VETRIVELU,Independent,54,1,55,0.19
13,NOTA,None of the Above,441,11,452,1.53
