O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,K. SETHU @ SETHU SELVAM,Communist Party of India,7355,167,7522,31.89
2,N. Rangasamy,All India N.R. Congress,12646,332,12978,55.02
3,R. Shanmugam,Indiya Jananayaka Katchi,41,1,42,0.18
4,S.T. NARASSINGAM,Desiya Murpokku Dravida Kazhagam,101,2,103,0.44
5,D. Ramesh,Naam Tamilar Katchi,1167,16,1183,5.02
6,R. Rajendhiran,Makkal Needhi Maiam,1013,16,1029,4.36
7,VIMALA SREE. B.,Amma Makkal Munnettra Kazagam,60,1,61,0.26
8,C. ANUSUYA,Independent,124,4,128,0.54
9,L. MANIKANDAN,Independent,46,2,48,0.2
10,K. MURUGAN,Independent,52,2,54,0.23
11,NOTA,None of the Above,417,21,438,1.86
