O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,R. SIVA,Dravida Munnetra Kazhagam,19316,337,19653,55.73
2,S.V. SUGUMARAN,All India N.R. Congress,12370,333,12703,36.02
3,R. ARUMUGAM @ SARAVANAN,Janata Dal (United),20,0,20,0.06
4,KUMARAVEL,Amma Makkal Munnettra Kazagam,160,2,162,0.46
5,THIAGU,Indiya Jananayaka Katchi,16,1,17,0.05
6,A. FAZIL,Desiya Murpokku Dravida Kazhagam,43,0,43,0.12
7,A. BANUMATHI,Makkal Needhi Maiam,600,9,609,1.73
8,PRAVEENA,Naam Tamilar Katchi,1172,10,1182,3.35
9,R. RAMPRASATH,Puducherry Development Party,77,4,81,0.23
10,C. GUEDJENDIRANE,Independent,27,3,30,0.09
11,S. SHANMUGASUNDARAM,Independent,67,1,68,0.19
12,P. THANAMOUTTOU,Independent,73,0,73,0.21
13,A. MATHIVANAN,Independent,19,1,20,0.06
14,V. MARAN,Independent,35,0,35,0.1
15,N. DJEAMOURTHY,Independent,92,0,92,0.26
16,NOTA,None of the Above,470,8,478,1.36
