O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,V. CARTIGUEYANE,Dravida Munnetra Kazhagam,11117,144,11261,40.47
2,RICHARDS JOHNKUMAR,Bharatiya Janata Party,11563,194,11757,42.26
3,D ARIVUMANI,My India Party,141,4,145,0.52
4,R ANIFA,SOCIAL DEMOCRATIC PARTY OF INDIA,139,0,139,0.5
5,R ARUMUGAM @ SARAVANAN,Janata Dal (United),16,0,16,0.06
6,S SASI KUMAR,Naam Tamilar Katchi,1506,15,1521,5.47
7,R PASUPATHY,Indiya Jananayaka Katchi,18,0,18,0.06
8,APR @ A. POOVARAGAVAN,Desiya Murpokku Dravida Kazhagam,99,2,101,0.36
9,P MURUGESAN,Makkal Needhi Maiam,1621,38,1659,5.96
10,D JENOVIA,Puducherry Development Party,44,2,46,0.17
11,ARUN @ MURUGAN,Independent,140,2,142,0.51
12,E IRUDHAYARAJ,Independent,122,2,124,0.45
13,"S ELUMALAI, M.A",Independent,82,1,83,0.3
14,P SHIVA SANTHOSH,Independent,11,0,11,0.04
15,N DELHI BABU,Independent,85,0,85,0.31
16,S PRITHIVIRAJAN,Independent,177,1,178,0.64
17,NOTA,None of the Above,527,10,537,1.93
