O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,M PARANTHAMAN,Bahujan Samaj Party,130,3,133,0.47
2,P RAJAVELU,All India N.R. Congress,15755,223,15978,56.82
3,V VIZEAVENY,Indian National Congress,9211,129,9340,33.21
4,T KALYANASUNDARAM,Janata Dal (United),81,2,83,0.3
5,D GOVURY,Naam Tamilar Katchi,645,4,649,2.31
6,M SELVAM,Amma Makkal Munnettra Kazagam,249,4,253,0.9
7,B GNANAOLY,Makkal Needhi Maiam,240,1,241,0.86
8,A VELU,Indiya Jananayaka Katchi,89,4,93,0.33
9,C KRISHNAGOPAL,Independent,597,2,599,2.13
10,S THIRUNAVUKKARASU,Independent,460,10,470,1.67
11,NOTA,None of the Above,276,6,282,1.0
