O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,A. ANBALAGAN,All India Anna Dravida Munnetra Kazhagam,8501,152,8653,36.48
2,ANNIBAL KENNEDY,Dravida Munnetra Kazhagam,13227,206,13433,56.64
3,JAYAKUMAR,Bahujan Samaj Party,55,1,56,0.24
4,M. KILLIVALAVAN,Indiya Jananayaka Katchi,10,0,10,0.04
5,V. SASIKUMAR,Desiya Murpokku Dravida Kazhagam,22,2,24,0.1
6,SANTHOSH KUMAR,Makkal Needhi Maiam,621,8,629,2.65
7,V. DEVIPRIYA,Naam Tamilar Katchi,559,5,564,2.38
8,P.M.BASKAR,Amma Makkal Munnettra Kazagam,43,0,43,0.18
9,MOHAMED SALEEM,Independent,24,1,25,0.11
10,K. REYAZ AHAMED,Independent,22,1,23,0.1
11,SAMIYAR @ VIJAYAKUMAR BASTE,Independent,37,1,38,0.16
12,NOTA,None of the Above,216,3,219,0.92
