O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,A. KRISHNAN @ A.K. KUMAR,Dravida Munnetra Kazhagam,12016,173,12189,42.28
2,"K.K. MATHIVADHANAN, M.B.A., M.Phil.,",Bahujan Samaj Party,99,1,100,0.35
3,A. NAMASSIVAYAM,Bharatiya Janata Party,14692,247,14939,51.82
4,P. GOPALAKRISHNAN,Makkal Needhi Maiam,235,3,238,0.83
5,CHITRA,Naam Tamilar Katchi,480,5,485,1.68
6,C. DHANAVELU,Amma Makkal Munnettra Kazagam,56,1,57,0.2
7,S. MANIKANDAN,Desiya Murpokku Dravida Kazhagam,64,0,64,0.22
8,CHAMSOUDINE,Independent,12,0,12,0.04
9,SIVAKUMAR. R.M,Independent,8,0,8,0.03
10,SUBBURUMANI,Independent,23,2,25,0.09
11,BRIGHTMOON V. MURUGANANDHAM,Independent,42,1,43,0.15
12,VEERAPPAN,Independent,175,7,182,0.63
13,S. JAYABALL ALIAS SENGENI,Independent,55,0,55,0.19
14,NOTA,None of the Above,428,5,433,1.5
