O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,M.NAGATHIYAGARAJAN,Dravida Munnetra Kazhagam,14116,380,14496,55.74
2,V.M.C.S.MANOHAREN,Bharatiya Janata Party,8788,197,8985,34.55
3,A.ARULRAJU,Desiya Murpokku Dravida Kazhagam,55,0,55,0.21
4,S.SELLAMUTHU,Indiya Jananayaka Katchi,35,0,35,0.13
5,BALADHANDAYUDHABANI.C,Amma Makkal Munnettra Kazagam,41,4,45,0.17
6,A MOHAMED YOUSUF,Naam Tamilar Katchi,468,3,471,1.81
7,GEETHA ANANDAN,Independent,1474,21,1495,5.75
8,V. M. C. S RAJAGANAPATHY,Independent,96,2,98,0.38
9,S.SRIDHAR,Independent,139,1,140,0.54
10,NOTA,None of the Above,177,9,186,0.72
