O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,V. SAMINATHAN,Bharatiya Janata Party,8712,179,8891,33.88
2,M. VAITHIANATHAN,Indian National Congress,14281,311,14592,55.6
3,N. CAMATCHY,Amma Makkal Munnettra Kazagam,70,1,71,0.27
4,P.V. GOPI KANNAN,Indiya Jananayaka Katchi,32,1,33,0.13
5,D. SATHIYAMOORTHY,Makkal Needhi Maiam,812,13,825,3.14
6,NIRMAL SINGH,Naam Tamilar Katchi,1148,20,1168,4.45
7,A. BOOPALAN,Desiya Murpokku Dravida Kazhagam,72,1,73,0.28
8,ANNA DURAI. M,Independent,20,0,20,0.08
9,KARUNAKARAN,Independent,20,0,20,0.08
10,P. SENTHIL KUMAR,Independent,67,2,69,0.26
11,C. PANDIAN,Independent,59,1,60,0.23
12,NOTA,None of the Above,402,21,423,1.61
