O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,R. Sheeshapillai,Bahujan Samaj Party,87,0,87,0.27
2,N.G. PANNIR SELVAM,All India N.R. Congress,10775,346,11121,34.0
3,Angalane @ Deva Pozhilan,Viduthalai Chiruthaigal Katchi,5479,154,5633,17.22
4,EJOUMALE,Amma Makkal Munnettra Kazagam,144,3,147,0.45
5,S. CHITRAKALA,Janata Dal (United),22,0,22,0.07
6,V. THANGAMANI,Puducherry Development Party,51,1,52,0.16
7,S. Datchanamoorthy,Indiya Jananayaka Katchi,20,0,20,0.06
8,R. Pazhanivelan,Makkal Needhi Maiam,1159,26,1185,3.62
9,S. PRIYA,Naam Tamilar Katchi,1144,13,1157,3.54
10,MOTHILAL .S,Communist Party of India (Marxist-Leninist) (Liberation),154,4,158,0.48
11,Gilbert,Desiya Murpokku Dravida Kazhagam,72,7,79,0.24
12,A. Santhi,Independent,99,1,100,0.31
13,M. Sivasankar,Independent,11794,146,11940,36.5
14,Sivasankaran,Independent,279,3,282,0.86
15,A S Ramesh,Independent,95,0,95,0.29
16,N. JEEVANANDAM,Independent,183,5,188,0.57
17,NOTA,None of the Above,432,12,444,1.36
