O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,IMAN KALYAN MUKHERJEE,Bharatiya Janata Party,52809,334,53143,28.11
2,KAMALESH CHATTERJEE (GOPAL),Indian National Congress,30013,103,30116,15.93
3,SHYAMAPADA GHOSH,Bahujan Samaj Party,1445,5,1450,0.77
4,HUMAYUN KABIR,All India Trinamool Congress,95906,320,96226,50.9
5,BADAN GHOSH,Amra Bangalee,2581,0,2581,1.37
6,SAJJAD HOSSAIN,All India Majlis-E-Ittehadul Muslimeen,2067,9,2076,1.1
7,BASUDEB SAHA,Independent,1010,1,1011,0.53
8,NOTA,None of the Above,2441,3,2444,1.29
