O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,AHMED JAVED KHAN,All India Trinamool Congress,120957,415,121372,54.39
2,DR. INDRANIL KHAN,Bharatiya Janata Party,57559,191,57750,25.88
3,SHATARUP GHOSH,Communist Party of India (Marxist),38971,209,39180,17.56
4,SHAMPA SARKAR,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),671,2,673,0.3
5,ARUNANSU KUMAR SARKAR,Independent,194,0,194,0.09
6,GOUTAM DAS,Independent,264,2,266,0.12
7,INDRANIL MITRA,Independent,307,3,310,0.14
8,TUSHAN MUKHERJEE,Independent,429,1,430,0.19
9,UMESH KR. SINGH,Independent,502,1,503,0.23
10,NOTA,None of the Above,2465,11,2476,1.11
