O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Ajay Prajapati,Bahujan Samaj Party,667,2,669,0.5
2,Kalyan Chaubey,Bharatiya Janata Party,47180,159,47339,35.6
3,Rupa Bagchi,Communist Party of India (Marxist),13390,123,13513,10.16
4,Sadhan Pande,All India Trinamool Congress,67180,397,67577,50.82
5,Subir Das,Bahujan Mukti Party,405,3,408,0.31
6,Tarun Banerjee,Socialist Party (India),203,0,203,0.15
7,Bablu Dey,Independent,168,0,168,0.13
8,Moumita Manna,Independent,239,1,240,0.18
9,Nimai Nath,Independent,783,0,783,0.59
10,Somen Das,Independent,257,0,257,0.19
11,Somnath Das,Independent,390,0,390,0.29
12,NOTA,None of the Above,1413,7,1420,1.07
