O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,TAPAN DEB SINGHA,All India Trinamool Congress,93723,1225,94948,39.61
2,PRAVASH SARKAR,Indian National Congress,16451,319,16770,7.0
3,SOUMEN ROY,Bharatiya Janata Party,115577,1191,116768,48.71
4,GOPAL CHUNARY,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),1070,3,1073,0.45
5,NAMALA KANTA SARKAR,Amra Bangalee,385,2,387,0.16
6,ALEN SARKAR,Independent,407,1,408,0.17
7,Dilip Chandra Ray,Independent,544,8,552,0.23
8,SHYAMA SARKAR,Independent,776,5,781,0.33
9,SUDHIR SARKAR,Independent,3978,26,4004,1.67
10,SURESH BARMAN,Independent,1025,3,1028,0.43
11,NOTA,None of the Above,2993,14,3007,1.25
