O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,TANMOY BISWAS,Bharatiya Janata Party,18261,117,18378,8.51
2,NIAMOT SHEIKH,All India Trinamool Congress,101982,678,102660,47.51
3,MIR ALAMGIR (PALASH),Indian National Congress,88000,594,88594,41.0
4,GOLAM AMBIA,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),1711,14,1725,0.8
5,ABUBAKKAR MANDAL,Independent,265,2,267,0.12
6,ALAMGIR MANDAL,Independent,230,1,231,0.11
7,INDRAJIT BAGDI,Independent,153,1,154,0.07
8,WAHED ANSARY,Independent,202,0,202,0.09
9,MINTU HALDAR,Independent,673,1,674,0.31
10,RAFIKUL ISLAM,Independent,1079,0,1079,0.5
11,SAHABUR RAHAMAN KHA,Independent,994,0,994,0.46
12,NOTA,None of the Above,1105,12,1117,0.52
