O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,APURBA SARKAR (DAVID),All India Trinamool Congress,94594,805,95399,51.16
2,GOUTAM ROY,Bharatiya Janata Party,56625,694,57319,30.74
3,SHAFIUL ALAM KHAN (BONU),Indian National Congress,27296,259,27555,14.78
4,SHER ALAM,"Justice and Development Party,",357,3,360,0.19
5,SUKHEN HALDAR,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),262,2,264,0.14
6,BODON DAS,Independent,210,1,211,0.11
7,SUFAL BAGDI,Independent,473,0,473,0.25
8,SYED AZIZUR HOSSAIN(NASHIM),Independent,1767,2,1769,0.95
9,NOTA,None of the Above,3121,10,3131,1.68
