O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Dhirendra Nath Mahato,All India Forward Bloc,19200,213,19413,9.57
2,Nara Hari Mahato,Bharatiya Janata Party,73713,667,74380,36.68
3,Phanibhushan Kumar,Indian National Congress,61611,569,62180,30.67
4,Jawahar Lal Mahato,Mulnibasi Party of India,2086,16,2102,1.04
5,Tirthanath Mahata,Akhil Bharat Hindu Mahasabha,606,7,613,0.3
6,Bhagirath Mahato,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),1121,5,1126,0.56
7,Dibyajoti Singh Deo,Independent,35281,148,35429,17.47
8,Nageswar Mahato,Independent,1405,14,1419,0.7
9,Nepal Chandra Mahato,Independent,1928,52,1980,0.98
10,Bahadur Kushbaha Kuiri,Independent,1162,7,1169,0.58
11,NOTA,None of the Above,2944,12,2956,1.46
