O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Asit Mazumder (Tapan),All India Trinamool Congress,115802,1302,117104,45.97
2,Goutam Mondal,Bahujan Samaj Party,1306,22,1328,0.52
3,PRANAB KUMAR GHOSH,All India Forward Bloc,28397,380,28777,11.3
4,Locket Chatterjee,Bharatiya Janata Party,98011,676,98687,38.74
5,Ajanta Sarkar,Socialist Party (India),1034,8,1042,0.41
6,AJIT KUMAR MURMU,Ambedkarite Party of India,827,12,839,0.33
7,Kashinath Murmu,Independent,1297,14,1311,0.51
8,Gopal Jee Pandey,Independent,639,7,646,0.25
9,Debkanta Sikdar,Independent,658,7,665,0.26
10,NOTA,None of the Above,4319,19,4338,1.7
