O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,FALGUNI MUKHERJEE,Revolutionary Socialist Party,9615,85,9700,4.93
2,SUBASISH BATABYAL,All India Trinamool Congress,82483,586,83069,42.2
3,SATYANARAYAN MUKHOPADHYAY,Bharatiya Janata Party,89511,722,90233,45.84
4,BAURI DINABANDHU,Bahujan Mukti Party,1832,6,1838,0.93
5,SADANANDA MANDAL,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),967,11,978,0.5
6,ANATH BAURI,Independent,804,5,809,0.41
7,ABIR CHANDRA MANDAL,Independent,1218,9,1227,0.62
8,DINANATH CHATTERJEE,Independent,2593,9,2602,1.32
9,RABINDRANATH BOURI,Independent,2857,9,2866,1.46
10,NOTA,None of the Above,3510,4,3514,1.79
