O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Anita Rajwar,Bahujan Samaj Party,555,9,564,0.44
2,Md. Shadab Khan,Indian National Congress,5159,52,5211,4.09
3,Rudranil Ghosh,Bharatiya Janata Party,44541,245,44786,35.16
4,Sobhandeb Chattopadhyay,All India Trinamool Congress,73048,457,73505,57.71
5,Ashraf Alam,Independent,487,1,488,0.38
6,Bikki Rajak,Independent,282,1,283,0.22
7,Chandan Mallick,Independent,520,3,523,0.41
8,Deepak Prasad Singh,Independent,230,4,234,0.18
9,Narayan Das,Independent,207,5,212,0.17
10,NOTA,None of the Above,1563,7,1570,1.23
