O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,ASHUTOSH CHATTERJEE,Indian National Congress,10156,158,10314,8.29
2,DEBASISH KUMAR,All India Trinamool Congress,64838,866,65704,52.79
3,LT. GEN. (DR.) SUBRATA SAHA,Bharatiya Janata Party,43907,383,44290,35.59
4,ROMIT CHOWDHURY,National Republic Party Of India,310,11,321,0.26
5,SUSMITA PAL,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),536,10,546,0.44
6,SWAPAN DAS,Bahujan Mukti Party,70,2,72,0.06
7,DEBASHIS NATH,Independent,121,2,123,0.1
8,GOPAL GHOSH,Independent,96,1,97,0.08
9,MUSARAT PARVEEN,Independent,131,3,134,0.11
10,NIRAJ AGARWAL,Independent,177,4,181,0.15
11,PANKAJ THAKKAR,Independent,341,1,342,0.27
12,PREETAM KUNDU,Independent,666,3,669,0.54
13,NOTA,None of the Above,1641,21,1662,1.34
