O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,ARJUN KUMAR DAS,Bahujan Samaj Party,751,6,757,0.48
2,KASHINATH BISWAS,Bharatiya Janata Party,35817,225,36042,22.74
3,PARESH PAUL,All India Trinamool Congress,102478,704,103182,65.1
4,RAJIB BISWAS,Communist Party of India (Marxist),13908,137,14045,8.86
5,BAPI PAUL,Akhil Bharat Hindu Mahasabha,204,2,206,0.13
6,TARUN KUMAR DAS,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),164,4,168,0.11
7,AVIJIT GHOSH,Independent,134,0,134,0.08
8,DIP SANKAR NAIYA,Independent,89,5,94,0.06
9,MANASH CHOWDHURY,Independent,84,2,86,0.05
10,RAKESH SHAW,Independent,166,11,177,0.11
11,SHAHAWAZ AFZAL,Independent,435,2,437,0.28
12,SURENDAR TEWARI,Independent,1168,0,1168,0.74
13,SUSOVAN DUTTA,Independent,445,1,446,0.28
14,NOTA,None of the Above,1559,5,1564,0.99
