O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Dr. Khagendra Nath Mahata,All India Trinamool Congress,102710,1405,104115,52.3
2,Prasanta Kumar Das,Communist Party of India (Marxist),5689,130,5819,2.92
3,Banamali Nayek,Bahujan Samaj Party,1248,12,1260,0.63
4,Sanjit Mahata,Bharatiya Janata Party,79106,1241,80347,40.36
5,Ashoke Mahata,Independent,972,8,980,0.49
6,Jiten Giri,Independent,572,17,589,0.3
7,Rajesh Mahato,Independent,1162,5,1167,0.59
8,Subhas Mahata (Bula Babu),Independent,1214,10,1224,0.61
9,Susanta Kumar Das,Independent,767,11,778,0.39
10,NOTA,None of the Above,2781,10,2791,1.4
