O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,JOYDEB HALDER,All India Trinamool Congress,95309,525,95834,48.04
2,DILIP KUMAR JATUA,Bharatiya Janata Party,72001,341,72342,36.26
3,SOUMEN SARKAR,Bahujan Samaj Party,858,2,860,0.43
4,PARTHA HALDER,Bahujan Mukti Party,439,2,441,0.22
5,MONGAL NASKAR,Republican Party of India (A),236,2,238,0.12
6,SISIR KUMAR MONDAL,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),1112,5,1117,0.56
7,SANCHAY KUMAR SARKAR,Rashtriya Secular Majlis Party,25334,63,25397,12.73
8,PABITRA HALDER,Independent,317,2,319,0.16
9,SANJAY HALDER,Independent,311,1,312,0.16
10,SUBESH KUMAR HALDER,Independent,807,1,808,0.41
11,NOTA,None of the Above,1822,0,1822,0.91
