O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,AROOP BISWAS,All India Trinamool Congress,100491,949,101440,51.4
2,DEBDUT GHOSH,Communist Party of India (Marxist),40260,337,40597,20.57
3,BABUL SUPRIYO,Bharatiya Janata Party,51064,296,51360,26.02
4,DEBABRATA BERA,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),451,3,454,0.23
5,ANINDITA BASU,Independent,128,5,133,0.07
6,AVIJIT SARKAR,Independent,101,1,102,0.05
7,DEBASHIS DAS,Independent,94,0,94,0.05
8,RABI MALIK,Independent,102,1,103,0.05
9,RAJ KUMAR MISHRA,Independent,123,3,126,0.06
10,SUBHODEEP DAS,Independent,145,3,148,0.07
11,SAMAR KUMAR BISWAS,Independent,195,0,195,0.1
12,SUDIPTA SOM,Independent,302,1,303,0.15
13,NOTA,None of the Above,2297,13,2310,1.17
