O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,DEBESH CHAKRABORTY,Indian National Congress,17772,258,18030,9.16
2,PRABHUNATH SAH,Bahujan Samaj Party,1221,7,1228,0.62
3,BISWANATH PARIAL,All India Trinamool Congress,75828,694,76522,38.86
4,LAKSHMAN CHANDRA GHORUI,Bharatiya Janata Party,90589,597,91186,46.31
5,SANJIBAN HAZRA,Janata Dal (United),910,5,915,0.46
6,SANDIP SIKDER,Republican Party of India (Athawale),874,5,879,0.45
7,SOMNATH BANERJEE,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),683,8,691,0.35
8,CHANDRA MALLIKA BANDOPADHYAY,Independent,2029,9,2038,1.04
9,NAYAN MONDAL,Independent,2118,12,2130,1.08
10,SWAPAN BANERJEE,Independent,653,6,659,0.33
11,NOTA,None of the Above,2611,13,2624,1.33
