O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,"Arup Roy, S/o Late Prabhat Roy",All India Trinamool Congress,111343,211,111554,57.16
2,Palash Bhandari,Indian National Congress,12904,38,12942,6.63
3,Sanjay Singh,Bharatiya Janata Party,64885,122,65007,33.31
4,Anamika Singh,Janata Dal (United),544,1,545,0.28
5,Chandrakant Jaiswal,Vikas India Party,153,1,154,0.08
6,Shrirup Das,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),282,2,284,0.15
7,"Arup Roy, S/o Late Gopal Roy",Independent,267,0,267,0.14
8,Pankoj Gar,Independent,238,1,239,0.12
9,Pradip Kanji,Independent,101,0,101,0.05
10,Babu Malick,Independent,124,1,125,0.06
11,Md. Nazir Alam,Independent,243,0,243,0.12
12,Samir Mondal,Independent,488,0,488,0.25
13,Subrata Mondal,Independent,460,0,460,0.24
14,NOTA,None of the Above,2734,1,2735,1.4
