O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,ABHAS RAY CHAUDHURI,Communist Party of India (Marxist),28719,344,29063,15.08
2,COLONEL DIPTANSU CHAUDHURY,Bharatiya Janata Party,75000,557,75557,39.21
3,PRADIP MAZUMDAR,All India Trinamool Congress,78457,846,79303,41.16
4,SURESH PRASAD,Bahujan Samaj Party,1234,6,1240,0.64
5,AMAL CHAKRABORTY,Amra Bangalee,469,2,471,0.24
6,BIJOY LAXMI PANDEY,Republican Party of India (Athawale),525,3,528,0.27
7,JUGAL KRISHNA PAKHIRA,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),629,7,636,0.33
8,DIPAK DHALI,Independent,1877,7,1884,0.98
9,MD. SHOUKAT ALI KHAN,Independent,1363,1,1364,0.71
10,NOTA,None of the Above,2609,19,2628,1.36
