O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,AMAL SARKAR,Bahujan Samaj Party,1299,13,1312,0.59
2,PARTHASARATHI CHATTERJEE,Bharatiya Janata Party,112413,1224,113637,50.91
3,BIJAYENDU BISWAS (HABU),Indian National Congress,10134,211,10345,4.64
4,SANKAR SINGHA,All India Trinamool Congress,89503,1006,90509,40.55
5,APARNA GUHA,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),1062,6,1068,0.48
6,SOURAV CHAKRABORTY,Socialist Party (India),701,0,701,0.31
7,ALPANA BANDYOPADHYAY,Independent,1064,6,1070,0.48
8,RATAN MALAKAR,Independent,1157,3,1160,0.52
9,RABINDRA NATH BISWAS,Independent,1125,8,1133,0.51
10,NOTA,None of the Above,2216,42,2258,1.01
