O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Isha Khan Choudhury,Indian National Congress,22042,240,22282,10.73
2,Md Abdul Ghani,All India Trinamool Congress,151658,787,152445,73.44
3,Rafiqul Islam,Bahujan Samaj Party,1458,3,1461,0.7
4,Sk Ziauddin,Bharatiya Janata Party,14655,134,14789,7.12
5,Nasmul Hoque,Party for Democratic Socialism,546,0,546,0.26
6,Md. Nur Islam Sekh,Rashtriya Secular Majlis Party,11162,11,11173,5.38
7,Md Monirul Hasan,Jamat-E-Seratul Mustakim,241,0,241,0.12
8,Manjur Alahi Munshi,Independent,452,2,454,0.22
9,Md. Saidul Hoque,Independent,352,0,352,0.17
10,Md. Rahim Biswas,Independent,2321,0,2321,1.12
11,NOTA,None of the Above,1522,5,1527,0.74
