O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,GOUTAM PAUL,All India Trinamool Congress,115956,638,116594,54.7
2,MD. HAFIZUL IQBAL,All India Forward Bloc,9077,69,9146,4.29
3,SUBHAS CHANDRA SINHA S/O: HARANARAYAN SINHA,Bharatiya Janata Party,79417,551,79968,37.52
4,HARUN RASHID,Bahujan Samaj Party,1128,11,1139,0.53
5,BISHWAJIT SINHA,Amra Bangalee,266,5,271,0.13
6,SHANTILAL SINGHA,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),201,6,207,0.1
7,SANTHAPAN HASDAK,Bahujan Mukti Party,229,2,231,0.11
8,ABDULLAH,Independent,631,1,632,0.3
9,DINESH CHANDRA SINGHA,Independent,536,1,537,0.25
10,BENOY KUMAR DAS,Independent,1266,3,1269,0.6
11,SUBHASH CHANDRA SINHA S/O: BUYASU LAL SINGHA,Independent,690,3,693,0.33
12,NOTA,None of the Above,2443,6,2449,1.15
