O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Kaushik Roy,Bharatiya Janata Party,113928,1378,115306,48.84
2,Ganesh Mandal,Bahujan Samaj Party,1539,11,1550,0.66
3,Naresh Chandra Roy,Revolutionary Socialist Party,5592,168,5760,2.44
4,Manoj Roy,All India Trinamool Congress,102341,1054,103395,43.79
5,Uday Shankar Adhikari,Communist Party of India (Marxist-Leninist) (Liberation),1546,9,1555,0.66
6,Binay Sarkar,Amra Bangalee,737,3,740,0.31
7,Biswanath Roy,Kamatapur People’s Party (United),2843,25,2868,1.21
8,Shyamal Roy,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),737,8,745,0.32
9,Bilash Sarkar,Independent,1075,4,1079,0.46
10,NOTA,None of the Above,3072,23,3095,1.31
