O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,AMIT KUMAR KUNDU,Bharatiya Janata Party,69949,721,70670,36.43
2,MOSARAF HUSSEN,All India Trinamool Congress,113867,778,114645,59.1
3,SRIKUMAR MUKHERJEE,Communist Party of India,4801,107,4908,2.53
4,MOFAKKERUL ISLAM,All India Majlis-E-Ittehadul Muslimeen,828,3,831,0.43
5,TUFAN BARMAN,Independent,185,4,189,0.1
6,DILIP KUMAR BARMAN,Independent,131,2,133,0.07
7,FIROJ ALAM,Independent,344,2,346,0.18
8,MOJAMMEL HAQUE,Independent,1024,0,1024,0.53
9,NOTA,None of the Above,1239,1,1240,0.64
