O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,JIBAN PRAKASH SAHA,All India Forward Bloc,10655,173,10828,10.52
2,SANDIPAN BISWAS,Bharatiya Janata Party,33099,166,33265,32.31
3,Dr. SHASHI PANJA,All India Trinamool Congress,55184,601,55785,54.18
4,MUNNI MALI,Sajag Samaj Party,406,3,409,0.4
5,Chhaya Ghosh,Independent,119,3,122,0.12
6,CHINMOY BISWAS,Independent,106,4,110,0.11
7,DILIP DAS,Independent,49,1,50,0.05
8,PRAVEEN KUMAR JAIN,Independent,138,1,139,0.13
9,PURNIMA BANERJEE,Independent,94,0,94,0.09
10,SANJAY NANDI,Independent,180,6,186,0.18
11,SURAJIT GHOSH,Independent,639,0,639,0.62
12,TARKESH RAI,Independent,279,1,280,0.27
13,NOTA,None of the Above,1053,10,1063,1.03
