O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,NANDITA CHOWDHURY,All India Trinamool Congress,116651,188,116839,53.86
2,RANTIDEV SENGUPTA,Bharatiya Janata Party,66088,182,66270,30.55
3,SUMITRO ADHIKARY,Communist Party of India (Marxist),27168,119,27287,12.58
4,AMIT KUMAR GHOSH,Janata Dal (United),654,0,654,0.3
5,TAPAS KUMAR DAS,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),320,2,322,0.15
6,PABITRA BISWAS,Independent,135,1,136,0.06
7,MAMATA BANERJEE,Independent,321,1,322,0.15
8,RAJESH KUMAR SINGH,Independent,170,1,171,0.08
9,SAJAL SARDAR,Independent,157,0,157,0.07
10,SAMIR BACHAR,Independent,313,0,313,0.14
11,SAMRAT CHATTOPADHYAY,Independent,457,1,458,0.21
12,SUSHANTA MONDAL,Independent,1063,0,1063,0.49
13,NOTA,None of the Above,2937,11,2948,1.36
