O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Ghosh Susanta,Communist Party of India (Marxist),19650,209,19859,7.97
2,Rajib Kundu,Bharatiya Janata Party,92415,961,93376,37.47
3,Srikanta Mahata,All India Trinamool Congress,125097,923,126020,50.57
4,Akshaya Kumar Mahata,Amra Bangalee,1591,18,1609,0.65
5,Paresh Chandra Dutta,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),563,2,565,0.23
6,Md. Kabirul Islam Khan,Humanity Universal Motion Party,753,3,756,0.3
7,Animesh Mahata,Independent,741,4,745,0.3
8,Rasbihari Mahata,Independent,2632,11,2643,1.06
9,Laksmi Kanta Murmu,Independent,1643,14,1657,0.66
10,NOTA,None of the Above,1956,9,1965,0.79
