O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,GOURI SANKAR GHOSH,Bharatiya Janata Party,95330,637,95967,41.86
2,NEAJUDDIN SK,Indian National Congress,28698,137,28835,12.58
3,MADAN MOHAN MANDAL,Bahujan Samaj Party,1099,0,1099,0.48
4,SHAONI SINGHA ROY,All India Trinamool Congress,93047,429,93476,40.78
5,MILIA SAJEM,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),1004,0,1004,0.44
6,SUJAT SK,Democratic Socialist Party of India,238,0,238,0.1
7,HABIB SAIKH,Rashtriya Secular Majlis Party,1441,1,1442,0.63
8,GOURI DAS SARKAR,Independent,753,0,753,0.33
9,BELLAL SK,Independent,2278,0,2278,0.99
10,MAHIRAM MURMU,Independent,535,0,535,0.23
11,SUBIR GHOSH,Independent,700,0,700,0.31
12,NOTA,None of the Above,2897,7,2904,1.27
