O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,JAFIKUL ISLAM,All India Trinamool Congress,127173,498,127671,56.45
2,BIYAMMA MONDAL (RUBIA),Bharatiya Janata Party,12247,101,12348,5.46
3,MD. MOSTAFIJUR RAHAMAN (RANA),Communist Party of India (Marxist),79968,474,80442,35.57
4,AMIR SOHAIL,"Justice and Development Party,",678,1,679,0.3
5,SAMSUZZAMAN(KAJAL),SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),291,2,293,0.13
6,HIKMAT ALI,Indian Union Muslim League,518,3,521,0.23
7,AYENUL HAQUE,Independent,469,0,469,0.21
8,IMAN ALI BISWAS,Independent,729,0,729,0.32
9,MD JEWEL MONDAL,Independent,611,1,612,0.27
10,NOTA,None of the Above,2413,6,2419,1.07
