O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,ARINDAM BHATTACHARYA,Bharatiya Janata Party,68221,445,68666,37.88
2,KRISHNA CHANDRA SARKAR,Bahujan Samaj Party,899,9,908,0.5
3,NEMAI SAHA,All India Forward Bloc,16555,193,16748,9.24
4,SOMENATH SHYAM ICHINI,All India Trinamool Congress,86266,764,87030,48.01
5,RATANMOHAN LASKAR,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),800,7,807,0.45
6,AJAY MAJUMDAR,Independent,436,0,436,0.24
7,DEBASISH BHATTACHARJEE,Independent,443,1,444,0.24
8,BRAHMDEO GUPTA,Revolutionary Socialist Party of India(Marxist),259,1,260,0.14
9,RAJA ANSARI,Independent,452,2,454,0.25
10,SUVAMAY PAN,Independent,1514,8,1522,0.84
11,SURAJ TIWARI,Independent,567,2,569,0.31
12,SOMNATH SARKAR,Independent,868,7,875,0.48
13,NOTA,None of the Above,2558,10,2568,1.42
