O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,ASHOK KUMAR DEB,All India Trinamool Congress,121401,956,122357,56.41
2,DR. TARUN KUMAR ADAK,Bharatiya Janata Party,77224,419,77643,35.8
3,BHARAT LAL DAS,Bahujan Samaj Party,922,10,932,0.43
4,SK MUJIBAR RAHAMAN,Indian National Congress,10687,122,10809,4.98
5,UTTAM PAL,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),508,7,515,0.24
6,KASHYAP UPADHYAY,Independent,367,4,371,0.17
7,BISWAJIT DAS,Independent,385,2,387,0.18
8,MUKUL CHANDRA JANA,Independent,1138,5,1143,0.53
9,NOTA,None of the Above,2726,9,2735,1.26
