O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Anindya Banerjee,Bharatiya Janata Party,38235,202,38437,26.64
2,MADAN MITRA,All India Trinamool Congress,73491,354,73845,51.17
3,Sayandeep Mitra,Communist Party of India (Marxist),28138,172,28310,19.62
4,BIDISHA ROYCHOWDHURY,Party for Democratic Socialism,488,0,488,0.34
5,Rajesh Sah,Jan Sangh Party,145,0,145,0.1
6,Aninda Banerjee,Independent,186,2,188,0.13
7,Kapil Chandra Ghosh,Independent,174,4,178,0.12
8,SANJIB PANDIT,Independent,335,3,338,0.23
9,Satya Brata Bandyopadhyay,Independent,823,5,828,0.57
10,NOTA,None of the Above,1546,7,1553,1.08
