O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,JOYEL MURMU,Bharatiya Janata Party,92982,1093,94075,47.52
2,THAKUR TUDU,Communist Party of India (Marxist),13649,156,13805,6.97
3,PRODIP BASKEY,All India Trinamool Congress,73956,602,74558,37.66
4,SHRINATH TUDU,Bahujan Samaj Party,1658,9,1667,0.84
5,PRATAP KORAMUDI,Ambedkarite Party of India,1879,8,1887,0.95
6,BABURAM KISKU,Bahujan Mukti Party,5878,18,5896,2.98
7,BISWANATH MARDI,Kamatapur People’s Party (United),742,5,747,0.38
8,NIRMAL SOREN,Independent,655,6,661,0.33
9,PROVAT KISKU,Independent,1696,5,1701,0.86
10,MURMU JOY,Independent,829,1,830,0.42
11,NOTA,None of the Above,2145,17,2162,1.09
