O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,DULAL MURMU,All India Trinamool Congress,99825,1078,100903,52.46
2,BAKUL MURMU,Bharatiya Janata Party,77089,1060,78149,40.63
3,SHYAM MANDI,Bahujan Samaj Party,1844,14,1858,0.97
4,HARIPADA SAREN,Communist Party of India (Marxist),5755,108,5863,3.05
5,KALICHARAN BESHRA,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),685,4,689,0.36
6,BIDHAN CHANDRA SING,Independent,896,9,905,0.47
7,SHYAMLAL HANSDA,Independent,897,4,901,0.47
8,NOTA,None of the Above,3077,9,3086,1.6
