O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,KESHAB CHANDRA RAY,Indian National Congress,3900,64,3964,1.66
2,JAGADISH CHANDRA BARMA BASUNIA,All India Trinamool Congress,116850,1058,117908,49.42
3,DIPAK KUMAR ROY,Bharatiya Janata Party,106723,1073,107796,45.18
4,ANIL CHANDRA BARMAN ROY,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),1371,10,1381,0.58
5,PROSHANTA BARMAN,Lok Jan Shakti Party,548,2,550,0.23
6,PRASANNA KUMAR ROY,Amra Bangalee,364,5,369,0.15
7,KASHIKANTA BARMAN,Independent,862,4,866,0.36
8,LALCHAND BARMAN,Independent,1773,3,1776,0.74
9,SUNIL MAHANTA,Independent,2387,4,2391,1.0
10,NOTA,None of the Above,1564,13,1577,0.66
