O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Jagannath Bhattacharyya,All India Forward Bloc,24817,153,24970,13.7
2,Manoj Tiwary,All India Trinamool Congress,92048,324,92372,50.69
3,Rathin Chakrabarty,Bharatiya Janata Party,59574,195,59769,32.8
4,Kartick Shil,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),600,1,601,0.33
5,Anupam Sarkar,Independent,342,1,343,0.19
6,Abhisek Kumar Chatterjee,Independent,244,5,249,0.14
7,Arim Roy,Independent,186,1,187,0.1
8,Pritam Das,Independent,267,4,271,0.15
9,Rajib Bhattacharya,Independent,638,0,638,0.35
10,Surojit Das,Independent,905,2,907,0.5
11,NOTA,None of the Above,1901,11,1912,1.05
