O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Goutam Deb,All India Trinamool Congress,100844,651,101495,39.19
2,Dilip Singh,Communist Party of India (Marxist),17747,251,17998,6.95
3,Radhakrishna Namadas,Bahujan Samaj Party,1391,4,1395,0.54
4,Sikha Chatterjee,Bharatiya Janata Party,128302,786,129088,49.85
5,Amitav Naskar,Republican Party of India (A),876,5,881,0.34
6,Maniul Islam,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),544,3,547,0.21
7,Shambhu Sutradhar,Amra Bangalee,646,4,650,0.25
8,Maheswar Barman,Independent,1388,3,1391,0.54
9,Rakhi Mandal,Independent,1087,6,1093,0.42
10,Subash Biswas,Independent,1047,5,1052,0.41
11,NOTA,None of the Above,3358,21,3379,1.3
