O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,IDRIS ALI,All India Trinamool Congress,153430,365,153795,68.05
2,Mehebub Alam,Bharatiya Janata Party,16652,55,16707,7.39
3,MD. KAMAL HOSSAIN,Communist Party of India (Marxist),47512,275,47787,21.15
4,SEIKH RABIUL ALAM,Bahujan Samaj Party,783,1,784,0.35
5,ABDUL MABUD NAYAN,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),447,2,449,0.2
6,ALI HOSSAIN,United Socialist Party,265,0,265,0.12
7,REJAUL KARIM SK,Indian Union Muslim League,614,3,617,0.27
8,MST. SIKHA KHATUN,Bahujan Maha Party,421,0,421,0.19
9,MD. NURUL ISLAM,Independent,289,1,290,0.13
10,MD. MOSARAF HOSSAIN,Independent,827,0,827,0.37
11,SYED IMRAN ALI MEERZA,Independent,652,0,652,0.29
12,NOTA,None of the Above,3392,4,3396,1.5
